filename,ids,figs,needs.pooling,is.KM,pngfiles,from SLE,years
Manger-2002-fig1.csv,Manger_2002,fig1,No,Yes,Manger-2002-fig1.png,y,
Massardo-1994-fig1-summ.csv,Massardo_1994,fig1,No,No,Massardo-1994-fig1.png,y,
Merola-2014-fig1-18-49.csv,Merola_2014,fig1,Yes,Yes,Merola-2014-fig1.png,,
Merola-2014-fig1-50above.csv,Merola_2014,fig1,Yes,Yes,Merola-2014-fig1.png,,
Merrell-1955-fig4-summ.csv,Merrell_1955,fig4,No,No,Merrell-1955-fig4.png,y,
Mok-2013-fig1-arterialThrombosis.csv,Mok_2013,fig1,Yes,Yes,Mok-2013-fig1.png,y,n
Mok-2013-fig1-noArterialThrombosis.csv,Mok_2013,fig1,Yes,Yes,Mok-2013-fig1.png,y,n
Moraes-Fontes-2012-fig2-overall-summ-cummort.csv,Moraes-Fontes_2012,fig2,No,No,Moraes-Fontes-2012-fig2.png,,
Murali-1997-fig1.csv,Murali_1997,fig1,No,Yes,Murali-1997-fig1.png,,n
Ndiaye-2011-fig1.csv,Ndiaye_2011,fig1,No,Yes,Ndiaye-2011-fig1.png,,n
Nossent-2001-fig5-summ.csv,Nossent_2001,fig5,No,No,Nossent-2001-fig5.png,y,
Nossent-2010-fig1-summ.csv,Nossent_2010,fig1,No,No,Nossent-2010-fig1.png,y,
Peschken-2000-fig3.csv,Peschken_2000,fig3,No,Yes,Peschken-2000-fig3.png,y,
Pokroy-Shapira-2014-fig1-LN-summ.csv,Pokroy-Shapira_2014,fig1,Yes,No,Pokroy-Shapira-2014-fig1.png,,
Pokroy-Shapira-2014-fig1-NoLN-summ.csv,Pokroy-Shapira_2014,fig1,Yes,No,Pokroy-Shapira-2014-fig1.png,,
posnick-1963-fig1-summ.csv,Posnick_1963,fig1,No,No,posnick-1963-fig1.png,,
